feature,mean_abs_shap,pollutant,track
mean_traffic_dist_m,2.806848811827472,NO2,B
AWND,2.3485722365997486,NO2,B
y_lag1,1.7174295726237885,NO2,B
TMIN,1.5210445431292956,NO2,B
doy_cos,0.6372050889900235,NO2,B
doy_sin,0.6309202557088356,NO2,B
weekday,0.6151869968229262,NO2,B
is_weekend,0.3519996417577528,NO2,B
traffic_daily_total_traffic_wmean,0.2466872716825212,NO2,B
TAVG,0.2163441715089236,NO2,B
traffic_am_peak_wmean,0.1862251920269943,NO2,B
traffic_pm_peak_wmean,0.12694159272649147,NO2,B
traffic_peak_volume_wmean,0.12057095274527913,NO2,B
TMAX,0.10069638306458174,NO2,B
month,0.0811775647809399,NO2,B
PRCP,0.029864553160003075,NO2,B
n_traffic_sites_linked,0.0052128843052662,NO2,B
bus_count_500m,0.003996353128459304,NO2,B
bus_count_1km,0.003218162696637834,NO2,B
nearest_bus_dist_m,0.002842288191185798,NO2,B
bus_count_3km,0.0027139573937243174,NO2,B
traffic_truck_volume_wmean,0.0,NO2,B
