traffic_site_key,COUNTY,LOCALNAM,mean_daily_traffic,mean_truck,bus_count_1km,traffic_burden,transit_deficit,vulnerability,GEOID20,county_name,MEDHHINC,pct_poverty,pct_no_vehicle,poverty,no_vehicle,low_income,social_vuln,composite_vuln
750104,Orange,COLONIAL DR,30869.821917808218,0.0,11.0,0.10063741661928143,0.3125,0.18538244997156886,120950166073,Orange,23315.0,56.648648648648646,9.49868073878628,1.0,0.3253042812154226,1.0,0.7751014270718075,0.539213836231712
770197,Seminole,SR-434,40664.76519337016,0.0,10.0,0.15609447696174278,0.375,0.24365668617704567,121170215041,Seminole,81563.0,11.375321336760926,29.199372056514914,0.15923938374186072,1.0,0.5426543447366148,0.5672979094928251,0.4378414201665133
750130,Orange,I-4,189717.14332247557,0.0,26.0,1.0,-0.625,0.35,120950171212,Orange,66801.0,27.033898305084747,7.733952049497293,0.45003123853351396,0.26486706750160083,0.6585610979813287,0.45781980133881445,0.41469188080328867
750154,Orange,SEMORAN BLVD,56205.002824858755,0.0,16.0,0.24408027451259262,0.0,0.14644816470755556,120950136062,Orange,,50.18726591760299,11.74496644295302,0.8800071377698984,0.4022335281807029,0.8800071377698984,0.7207492679068332,0.4910288266271222
770343,Seminole,I-4,155972.6856287425,0.0,0.0,0.8089454554357667,1.0,0.88536727326146,121170215052,Seminole,74904.0,6.782608695652174,0.0,0.07394916674865919,0.0,0.5949387960207599,0.22296265425647302,0.4879245018584678
750038,Orange,W COLONIAL DR,44854.05479452055,0.0,4.0,0.17981341842643583,0.75,0.40788805105586157,120950173023,Orange,53715.0,19.94633273703041,1.5573770491803278,0.3184096779241912,0.05333597743698219,0.7613084068121324,0.37768468739110195,0.38976603285700584
770102,Seminole,US-17/92,38723.665753424655,0.0,0.0,0.1451043501439231,1.0,0.4870626100863539,121170208072,Seminole,80955.0,3.258655804480652,9.699769053117782,0.008506642852960046,0.33219101542129176,0.5474281766003721,0.29604194495820796,0.37245021100946635
920265,Osceola,W BRONSON HWY,63922.53658536585,0.0,9.0,0.28777544695113544,0.4375,0.3476652681706813,120970421002,Osceola,74499.0,20.949142519219397,3.5592393954168697,0.3370326292406393,0.12189438144519064,0.5981187333642166,0.3523485813500155,0.3504752560782818
770299,Seminole,SR-46,14982.237960339944,0.0,0.0,0.010685011849005652,1.0,0.4064110071094034,121170211001,Seminole,101795.0,5.497885428681276,0.0,0.050090864525398446,0.0,0.38379880811237344,0.1446298908792573,0.24934233737131578
920065,Osceola,E BRONSON HWY,13095.028571428571,0.0,0.0,0.0,1.0,0.4,120970438012,Osceola,96921.0,2.8005895978100654,0.0,0.0,0.0,0.4220679799938757,0.14068932666462522,0.24441359599877516
750175,Orange,ORANGE AVE,32898.84764542936,0.0,12.0,0.11212536494603034,0.25,0.1672752189676182,120950139001,Orange,150676.0,6.887052341597796,1.0845986984815619,0.07588876583146022,0.037144589835094347,0.0,0.03767778522218485,0.0895167587203582
